Domain name,Domain type,Agency,Organization name,City,State,Security contact email
kansashighwaypatrol.gov,State or territory,Non-Federal Agency,Kansas Highway Patrol,Topeka,KS,khp.network@ks.gov
kansastag.gov,State or territory,Non-Federal Agency,The Adjutant General's Department,Topeka,KS,(blank)
kansasvaccine.gov,State or territory,Non-Federal Agency,KDHE,Topeka,KS,kdhe.iis@ks.gov
kdheks.gov,State or territory,Non-Federal Agency,Kansas Department of Health and Environment,Topeka,KS,(blank)
kentucky.gov,State or territory,Non-Federal Agency,Commonwealth of Kentucky,Frankfort,KY,davidj.carter@ky.gov
kidcentraltennessee.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
kidcentraltn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
ksabconline.gov,State or territory,Non-Federal Agency,Kansas Department of Revenue,Topeka,KS,vince.finney@ks.gov
kscareernav.gov,State or territory,Non-Federal Agency,Kansas Department of Commerce,Topeka,KS,mark.abraham@ks.gov
kscds.gov,State or territory,Non-Federal Agency,Kansas Departmet of Transportation,Topeka,KS,kiso@ks.gov
kscjis.gov,State or territory,Non-Federal Agency,Kansas Highway Patrol,Topeka,KS,James.Ragan@ks.gov
ksdot.gov,State or territory,Non-Federal Agency,Kansas Department of Transportation,Topeka,KS,kiso@ks.gov
kselien.gov,State or territory,Non-Federal Agency,Kansas Department of Revenue,Topeka,KS,vince.finney@ks.gov
ksexec.gov,State or territory,Non-Federal Agency,Office of Information Technology Services,Topeka,KS,Erin.Mcginnis@ks.gov
ks.gov,State or territory,Non-Federal Agency,"State of Kansas, DISC",Topeka,KS,mark.abraham@ks.gov
kshub.gov,State or territory,Non-Federal Agency,Kansas Department of Transportation,Topeka,KS,kiso@ks.gov
kslegislature.gov,State or territory,Non-Federal Agency,Kansas Legislative Office of Information Services,,,(blank)
ksready.gov,State or territory,Non-Federal Agency,Kansas Division of Emergency Management,Topeka,KS,(blank)
ksrevenue.gov,State or territory,Non-Federal Agency,Kansas Department of Revenue,Topeka,KS,vince.finney@ks.gov
ksvehicles.gov,State or territory,Non-Federal Agency,Kansas Department of Revenue,Topeka,KS,vince.finney@ks.gov
kswebtags.gov,State or territory,Non-Federal Agency,Kansas Department of Revenue,Topeka,KS,vince.finney@ks.gov
kyahimt.gov,State or territory,Non-Federal Agency,Kentucky Emergency Management Association ,Frankfort,KY,davidj.carter@ky.gov
kycourts.gov,State or territory,Non-Federal Agency,Administrative Office of the Courts,Frankfort,KY,infrastructure_Services_Security@kycourts.net
ky.gov,State or territory,Non-Federal Agency,Commonwealth of Kentucky,Frankfort,KY,davidj.carter@ky.gov
kylegislature.gov,State or territory,Non-Federal Agency,Legislative Research Commission,Frankfort,KY,lrcnocteam@lrc.ky.gov
kynect.gov,State or territory,Non-Federal Agency,Commonwealth of Kentucky Cabinet for Health and Family Services,Frankfort,KY,jeremy.rogers@ky.gov
lafaststart.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,nicolaus.james@la.gov
la.gov,State or territory,Non-Federal Agency,State of Louisiana - Office of Technology Services,Baton Rouge,LA,abuse@la.gov
lajudicial.gov,State or territory,Non-Federal Agency,State of Louisiana Judicial Branch,New Orleans,LA,iteam@lasc.org
laruralevolution.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
lasmallbizonline.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
lcsami.gov,State or territory,Non-Federal Agency,Local Community Stabilization Authority,Lansing,MI,(blank)
legmt.gov,State or territory,Non-Federal Agency,"Department of Administration, State of Montana",Helena,MT,LegITSecurity@legmt.gov
leyeslaboralesdecolorado.gov,State or territory,Non-Federal Agency,Division of Labor Standards and Statistics,Suite 600,CO,(blank)
lgadmi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
licensediniowa.gov,State or territory,Non-Federal Agency,State of Iowa - OCIO,Des Moines,IA,soc@iowa.gov
localcommunitystabilizationauthoritymi.gov,State or territory,Non-Federal Agency,Local Community Stabilization Authority,Lansing,MI,admin@lcsami.gov
lookforwardwi.gov,State or territory,Non-Federal Agency,Wisconsin Department of Financial Institutions,Madison,WI,dfihelpdesk@dfi.wisconsin.gov
louisianaentertainment.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,Nicolaus.James@la.gov
louisianafaststart.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,Nicolaus.James@la.gov
louisiana.gov,State or territory,Non-Federal Agency,State of Louisiana - Office of Telecom Mgt,Baton Rouge,LA,(blank)
louisianalifesciences.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
louisianamap.gov,State or territory,Non-Federal Agency,Division of Administration,Baton Rouge,LA,(blank)
louisianamusic.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,Nicolaus.James@la.gov
louisiananetzero.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
louisianarural.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
louisianassbci.gov,State or territory,Non-Federal Agency,Louisiana Economic Development,Baton Rouge,LA,infosecteam@la.gov
lreab.gov,State or territory,Non-Federal Agency,Louisiana Real Estate Appraisers Board,Baton Rouge,LA,(blank)
lrec.gov,State or territory,Non-Federal Agency,Louisiana Real Estate Commission,Baton Rouge,LA,(blank)
lslbc.gov,State or territory,Non-Federal Agency,Louisiana State Licensing Board for Contractors,Baton Rouge,LA,tguidry@lslbc.louisiana.gov
ma.gov,State or territory,Non-Federal Agency,Commonwealth of Massachusetts,Boston,MA,abuse@state.ma.us
mahealthsurveys.gov,State or territory,Non-Federal Agency,Center for Health Information and Analysis,Boston,MA,DL-SecurityTeam@chiamass.gov
mahouse.gov,State or territory,Non-Federal Agency,Massachusetts Legislature,Boston,MA,abuse@state.ma.us
mainecareercenter.gov,State or territory,Non-Federal Agency,Maine Department of Labor,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
mainecare.gov,State or territory,Non-Federal Agency,State of Maine Office of Information Technology,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
mainedot.gov,State or territory,Non-Federal Agency,Maine Department of Transportation,Augusta,ME,(blank)
maineflu.gov,State or territory,Non-Federal Agency,Maine Center for Disease Control and Prevention,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
maineforestservice.gov,State or territory,Non-Federal Agency,Maine Forest Service,AUGUSTA,ME,forestinfo@maine.gov
maine.gov,State or territory,Non-Federal Agency,State of Maine,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
mainelosap.gov,State or territory,Non-Federal Agency,State of Maine LOSAP Board,Augusta,ME,dns@informe.org
mainepublichealth.gov,State or territory,Non-Federal Agency,Maine CDC,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
maineservicecommission.gov,State or territory,Non-Federal Agency,Maine Commission for Community Service,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
maineunclaimedproperty.gov,State or territory,Non-Federal Agency,State of Maine Treasurer's Office,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
majury.gov,State or territory,Non-Federal Agency,MA Office of Jury Commissioner,Boston,MA,(blank)
malegislature.gov,State or territory,Non-Federal Agency,Massachusetts Legislature,Boston,MA,abuse@state.ma.us
manhassetparkdistrictny.gov,State or territory,Non-Federal Agency,Manhasset Park District,Manhasset,NY,manhassetparkdistrict@gmail.com
mapwv.gov,State or territory,Non-Federal Agency,"WV GIS Technical Center, Department of Geology and Geography, West Virginia University",Morgantown,WV,(blank)
marylandattorneygeneral.gov,State or territory,Non-Federal Agency,Maryland Attorney General,Baltimore,MD,(blank)
marylandcomptroller.gov,State or territory,Non-Federal Agency,Comptroller of Maryland,Annapolis,MD,itd_primary_admin@marylandtaxes.gov
maryland.gov,State or territory,Non-Federal Agency,Department of Information Technology,Crownsville,MD,srinivas.bandreddi@maryland.gov
marylandhealthconnection.gov,State or territory,Non-Federal Agency,Maryland Health Benefit Exchange,Baltimore,MD,isaac.asante@maryland.gov
marylandtaxes.gov,State or territory,Non-Federal Agency,Comptroller of Maryland,Annapolis,MD,ITD_PRIMARY_ADMIN@COMP.STATE.MD.US
masenate.gov,State or territory,Non-Federal Agency,Massachusetts Legislature,Boston,MA,abuse@state.ma.us
massachusetts.gov,State or territory,Non-Federal Agency,Commonwealth of Massachusetts,Boston,MA,abuse@state.ma.us
masscomparecare.gov,State or territory,Non-Federal Agency,Center for Health Information and Analysis,Boston,MA,DL-SecurityTeam@chiamass.gov
massgaming.gov,State or territory,Non-Federal Agency,Massachusetts Gaming Commission,Boston,MA,infosecurity@massgaming.gov
mass.gov,State or territory,Non-Federal Agency,Commonwealth of Massachusetts,Boston,MA,abuse@state.ma.us
masshpc.gov,State or territory,Non-Federal Agency,Health Policy Commission,Boston,MA,HPC-websecurity@mass.gov
mcac-md.gov,State or territory,Non-Federal Agency,Maryland Coordination and Analysis Center,Calverton ,MD,(blank)
mdatc.gov,State or territory,Non-Federal Agency,Department of Information Technology,Crownsville,MD,srinivas.bandreddi@maryland.gov
mdbre.gov,State or territory,Non-Federal Agency,Bureau of Revenue Estimates,Annapolis,MD,itd_primary_admin@marylandtaxes.govv
mdcacdom.gov,State or territory,Non-Federal Agency,Maryland Coordination and Analysis Center.,Woodlawn,MD,(blank)
mdcac.gov,State or territory,Non-Federal Agency,Maryland Coordination and Analysis Center,Woodlawn,MD,(blank)
mdcourts.gov,State or territory,Non-Federal Agency,Maryland Judiciary,Annapolis,MD,(blank)
md.gov,State or territory,Non-Federal Agency,Department of Information Technology,Crownsville,MD,srinivas.bandreddi@maryland.gov
mdtaxconnect.gov,State or territory,Non-Federal Agency,Comptroller of Maryland,Annapolis,MD,ITD_PRIMARY_ADMIN@marylandtaxes.gov
measuretn.gov,State or territory,Non-Federal Agency,State of Tennessee,Nashville,TN,Cyber.Security@tn.gov
medcmi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
me.gov,State or territory,Non-Federal Agency,State of Maine,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
mgcbmi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
mi365.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
mich.gov,State or territory,Non-Federal Agency,Department of Technology Management and Budget,Lansing,MI,abuse@michigan.gov
michigan.gov,State or territory,Non-Federal Agency,Department of Technology Management and Budget,Lansing,MI,abuse@michigan.gov
michiganidc.gov,State or territory,Non-Federal Agency,Michigan Indigent Defense Commission,Lansing,MI,(blank)
micourt.gov,State or territory,Non-Federal Agency,Michigan Supreme Court,Lansing,MI,admin@courts.mi.gov
mieog.gov,State or territory,Non-Federal Agency,Department of Technology Management and Budget,Lansing,MI,abuse@michigan.gov
mi.gov,State or territory,Non-Federal Agency,Department of Technology Management and Budget,Lansing,MI,abuse@michigan.gov
minnesota.gov,State or territory,Non-Federal Agency,"State of Minnesota, Office of Enterprise Technology",St. Paul,MN,soc@state.mn.us
mississippi.gov,State or territory,Non-Federal Agency,I.T.S State of Mississippi,Jackson,MS,IncidentResponse@its.ms.gov
missouri.gov,State or territory,Non-Federal Agency,State of Missouri,Jefferson City,MO,(blank)
mncourts.gov,State or territory,Non-Federal Agency,Minnesota Supreme Court,St. Paul,MN,shaheem.motlekar@courts.state.mn.us
mndnr.gov,State or territory,Non-Federal Agency,Minnesota Department of Natural Resources,St. Paul,MN,soc@state.mn.us
mndot.gov,State or territory,Non-Federal Agency,Minnesota Department of Transportation,St. Paul,MN,soc@state.mn.us
mn.gov,State or territory,Non-Federal Agency,"State of Minnesota, Office of Enterprise Technology",St. Paul,MN,(blank)
mnsenate.gov,State or territory,Non-Federal Agency,Minnesota Senate,Saint Paul,MN,security@senate.mn
mnvotes.gov,State or territory,Non-Federal Agency,Office of the Minnesota Secretary of State,Saint Paul,MN,SOC@state.mn.us
modot.gov,State or territory,Non-Federal Agency,Missouri Department of Transporation,Jefferson City,MO,(blank)
mo.gov,State or territory,Non-Federal Agency,State of Missouri,Jefferson City,MO,Cyber.Security@oa.mo.gov
montanafraud.gov,State or territory,Non-Federal Agency,"Department of Administration, State of Montana",Helena,MT,LegITSecurity@legmt.gov
montana.gov,State or territory,Non-Federal Agency,State of Montana,Helena,MT,doasitsdnosc@mt.gov
montanaguard.gov,State or territory,Non-Federal Agency,Montana Army National Guard,Fort Harrison,MT,montanaj6informationsystemsecurity@army.mil
montanaworks.gov,State or territory,Non-Federal Agency,Department of Labor & Industry - Technology Services Division,Helena,MT,doasitsdnosc@mt.gov
msda23.gov,State or territory,Non-Federal Agency,District Attorney's Office 23rd Circuit Court District,Hernando,MS,chris.sheley@desotocountyms.gov
ms.gov,State or territory,Non-Federal Agency,ITS,Jackson,MS,IncidentResponse@its.ms.gov
mslmi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
mspadmi.gov,State or territory,Non-Federal Agency,Department of Technology Management Budget,Lansing,MI,abuse@michigan.gov
mtcountyresults.gov,State or territory,Non-Federal Agency,Montana Secretary of State,Helena,MT,(blank)
mtdnrc.gov,State or territory,Non-Federal Agency,Department of Natural Resources and Conservation,Helena,MT,DNRSecurity@mt.gov
mtelectionresults.gov,State or territory,Non-Federal Agency,mtelectionresults.gov,Helena,MT,(blank)
mt.gov,State or territory,Non-Federal Agency,State of Montana,Helena,MT,doasitsdnosc@mt.gov
mtleg.gov,State or territory,Non-Federal Agency,"Department of Administration, State of Montana",Helena,MT,LegITSecurity@legmt.gov
mtlegnews.gov,State or territory,Non-Federal Agency,Montana Legislative Branch,Helena,MT,LegITSecurity@legmt.gov
mtrealid.gov,State or territory,Non-Federal Agency,Montana Department of Justice,Helena,MT,dojsecurity@mt.gov
mtredistricting.gov,State or territory,Non-Federal Agency,Montana Legislative Branch,Helena,MT,LegITSecurity@legmt.gov
mtrevenue.gov,State or territory,Non-Federal Agency,MT Department of Revenue,Helena,MT,dorserveradmins@mt.gov
mtsafe.gov,State or territory,Non-Federal Agency,Montana Department of Justice,Helena,MT,eric.tarr@mt.gov
mtsosfilings.gov,State or territory,Non-Federal Agency,Montana Secretary of State,Helena,MT,(blank)
muskegowi.gov,State or territory,Non-Federal Agency,City of Muskego,Muskego,WI,it@cityofmuskego.org
mvdmt.gov,State or territory,Non-Federal Agency,Montana Department of Justice,Helena,MT,eric.tarr@mt.gov
mvdnowaz.gov,State or territory,Non-Federal Agency,ADOT,Phoenix,AZ,(blank)
myalabama.gov,State or territory,Non-Federal Agency,State of Alabama,Montgomery,AL,(blank)
myalaska.gov,State or territory,Non-Federal Agency,State of Alaska,Juneau,AK,(blank)
mycolorado.gov,State or territory,Non-Federal Agency,Governor's Office of Information Technology (OIT),Denver,CO,isoc@state.co.us
myfloridacensus.gov,State or territory,Non-Federal Agency,Florida House of Representatives,Tallahassee,FL,(blank)
myfloridacfo.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
myflorida.gov,State or territory,Non-Federal Agency,State of Florida / Department of Management Services,Tallahassee,FL,(blank)
myfloridahouse.gov,State or territory,Non-Federal Agency,The Florida House of Representatives,Tallahassee,FL,(blank)
myfloridalicense.gov,State or territory,Non-Federal Agency,Department of Business and Professional Regulation,Tallahasssee,FL,lncidentResponse@myfloridalicense.com
myfloridarx.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,Tallahassee,FL,william.armstrong@ahca.myflorida.com
myfloridatreasurehunt.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,Tallahassee,FL,Clint.Morrow@myfloridacfo.com
myhawaii.gov,State or territory,Non-Federal Agency,"State of Hawaii, DAGS/ETS",Honolulu,HI,(blank)
myindiana.gov,State or territory,Non-Federal Agency,State of Indiana,Indianapolis,IN,IOTOperationalSecurity@iot.in.gov
myin.gov,State or territory,Non-Federal Agency,State of Indiana,Indianapolis,IN,IOTOperationalSecurity@iot.in.gov
mykentucky.gov,State or territory,Non-Federal Agency,Commonwealth of Kentucky Cabinet for Health and Family Services,Frankfort,KY,(blank)
myky.gov,State or territory,Non-Federal Agency,Commonwealth of Kentucky Cabinet for Health and Family Services,Frankfort,KY,(blank)
mymaineconnection.gov,State or territory,Non-Federal Agency,State of Maine - Office for Information Technology,Augusta,ME,DotGov-Domain-Security.MaineIT@maine.gov
mymdtaxes.gov,State or territory,Non-Federal Agency,Comptroller of Maryland,Annapolis,MD,ITD_PRIMARY_ADMIN@marylandtaxes.gov
myncdmv.gov,State or territory,Non-Federal Agency,NC Department of Transportation,Raleigh,NC,(blank)
mynevada.gov,State or territory,Non-Federal Agency,"State of Nevada, Department of Information Technology",Carson City,NV,(blank)
mynjhelps.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,Trenton,NJ,kaja-kai.ojamaa@dhs.nj.gov
myohio.gov,State or territory,Non-Federal Agency,"State of Ohio, Office of IT",Columbus,OH,domain.manager@das.ohio.gov
myoregon.gov,State or territory,Non-Federal Agency,Office of Governor Kate Brown,Salem,OR,Natalie.King@Oregon.gov
mysc.gov,State or territory,Non-Federal Agency,"State of South Carolina, The South Carolina Department of Administration, Chief Information Officer",Cloumbia,SC,soc@admin.sc.gov
mytennessee.gov,State or territory,Non-Federal Agency,State of Tennessee,Smyrna,TN,Cyber.Security@tn.gov
mytn.gov,State or territory,Non-Federal Agency,State of Tennessee ,Nashville,TN,Cyber.Security@tn.gov
myvi.gov,State or territory,Non-Federal Agency,Bureau of Information Technology,St. Thomas,VI,security_admin@vi.gov
myvotect.gov,State or territory,Non-Federal Agency,CT SOTS,Hartford,CT,mirek.golebiewski@ct.gov
ncagr.gov,State or territory,Non-Federal Agency,Information Technology Services,Raleigh,NC,(blank)
ncbar.gov,State or territory,Non-Federal Agency,North Carolina State Bar,Raleigh,NC,admin@ncbar.gov
ncbroadband.gov,State or territory,Non-Federal Agency,North Carolina Department of Commerce,Raleigh,NC,(blank)
nccertifiedparalegal.gov,State or territory,Non-Federal Agency,North Carolina State Bar,Raleigh,NC,admin@ncbar.gov
nccob.gov,State or territory,Non-Federal Agency,North Carolina Office of the Commissioner of Banks,Raleigh,NC,ssnively@nccob.gov
nccourts.gov,State or territory,Non-Federal Agency,NC Admin. Office of the Courts,Raleigh,NC,(blank)
nccpaboard.gov,State or territory,Non-Federal Agency,NC State Board of CPA Examiners,Raleigh,NC,buckw@nccpaboard.gov
ncdci.gov,State or territory,Non-Federal Agency,North Carolina Department of Public Safety,Raleigh,NC,security@ncsbi.gov
ncdcr.gov,State or territory,Non-Federal Agency,NC Department of Cultural Resources,Raleigh,NC,DNCR_ITSecurity@ncdcr.gov
ncdenr.gov,State or territory,Non-Federal Agency,NC Department of Environment and Natural Resources,Raleigh,NC,DEQ_ITSecurity@ncdenr.gov
ncdhhs.gov,State or territory,Non-Federal Agency,NC Department of Health and Human Services,Raleigh,NC,(blank)
ncdoi.gov,State or territory,Non-Federal Agency,North Carolina Department of Insurance,Raleigh,NC,ncdoi.iso@ncdoi.gov
ncdoj.gov,State or territory,Non-Federal Agency,North Carolina Department of Justice,Raleigh,NC,(blank)
ncdor.gov,State or territory,Non-Federal Agency,Department of Information Technology,Raleigh,NC,IT_Security@ncdor.gov
ncdot.gov,State or territory,Non-Federal Agency,North Carolina Department of Transportation,Raleigh,NC,security@ncdot.gov
ncdpi.gov,State or territory,Non-Federal Agency,North Carolina Department of Public Instruction,Raleigh,NC,itsecurity@dpi.nc.gov
ncdps.gov,State or territory,Non-Federal Agency,N.C. Department of Public Safety,Raleigh,NC,(blank)
ncdrc.gov,State or territory,Non-Federal Agency,Administrative Office of the Courts,Raleigh,NC,(blank)
ncedcloud.gov,State or territory,Non-Federal Agency,NC Department of Public Instruction,Raleigh,NC,itsecurity@dpi.nc.gov
ncem.gov,State or territory,Non-Federal Agency,North Carolina Emergency Management,Raleigh,NC,DITPSInformationSecurity@ncdps.gov
ncforestproducts.gov,State or territory,Non-Federal Agency,North Carolina Forest Service,Raleigh,NC,(blank)
ncforestservice.gov,State or territory,Non-Federal Agency,North Carolina Forest Service,Raleigh,NC,(blank)
nc.gov,State or territory,Non-Federal Agency,"ITS, Executive Office of the State of North Carolina",Raleigh,NC,(blank)
nchaf-dynamic.gov,State or territory,Non-Federal Agency,North Carolina Housing Finance Agency,Raleigh,NC,mbsizer@nchfa.com
nchaf.gov,State or territory,Non-Federal Agency,North Carolina Housing Finance Agency,Raleigh,NC,mbsizer@nchfa.com
nchaf-static.gov,State or territory,Non-Federal Agency,North Carolina Housing Finance Agency,Raleigh,NC,mbsizer@nchfa.com
nchealthconnex.gov,State or territory,Non-Federal Agency,"DIT, State of North Carolina",Raleigh,NC,(blank)
nchomeownerassistance.gov,State or territory,Non-Federal Agency,North Carolina Housing Finance Agency,Raleigh,NC,sysadminalerts@nchfa.com
ncisaac.gov,State or territory,Non-Federal Agency,North Carolina Department of Justice,Raleigh,NC,jmatthews@ncsbi.gov
ncjsc.gov,State or territory,Non-Federal Agency,North Carolina Administrative Office of the Courts,Raleigh,NC,(blank)
nclamp.gov,State or territory,Non-Federal Agency,North Carolina State Bar,Raleigh,NC,admin@ncbar.gov
nclawspecialists.gov,State or territory,Non-Federal Agency,North Carolina State Bar,Raleigh,NC,admin@ncbar.gov
nclea.gov,State or territory,Non-Federal Agency,NC Judicial Branch,Raleigh,NC,kevin.p.knox@nccourts.org
ncleg.gov,State or territory,Non-Federal Agency,North Carolina General Assembly,Raleigh,NC,(blank)
ncmedicaidplan.gov,State or territory,Non-Federal Agency,NC Dept of Health and Human Services,Raleigh,NC,pyreddy.reddy@dhhs.nc.gov
ncmedicaidplans.gov,State or territory,Non-Federal Agency,NC Dept of Health and Human Services,Raleigh,NC,pyreddy.reddy@dhhs.nc.gov
nconemap.gov,State or territory,Non-Federal Agency,DENR - CGIA,Raleigh,NC,brett.spivey@nc.gov
ncosc.gov,State or territory,Non-Federal Agency,"State of North Carolina, Office of the State Controller",Raleigh,NC,osc.beacon.auths@osc.nc.gov
ncosfm.gov,State or territory,Non-Federal Agency,NC Department of Insurance,Raleigh,NC,ncdoi.iso@ncdoi.gov
ncparks.gov,State or territory,Non-Federal Agency,North Carolina Division of Parks and Recreation,Raleigh,NC,(blank)
ncpublicschools.gov,State or territory,Non-Federal Agency,North Carolina Department of Public Instruction,Raleigh,NC,(blank)
ncrealid.gov,State or territory,Non-Federal Agency,North Carolina Department Of Transportation,Raleigh,NC,(blank)
ncrec.gov,State or territory,Non-Federal Agency,North Carolina Real Estate Commission,Raleigh,NC,jake@ncrec.gov
ncsbadvisors.gov,State or territory,Non-Federal Agency,North Carolina Department of Commerce,Raleigh,NC,mking@commerce.nc.gov
ncsbe-apps.gov,State or territory,Non-Federal Agency,North Carolina State Board of Elections,Raleigh,NC,torry.crass@ncsbe.gov
ncsbe.gov,State or territory,Non-Federal Agency,State Board of Elections,Raleigh,NC,torry.crass@ncsbe.gov
ncsbi.gov,State or territory,Non-Federal Agency,North Carolina Department of Justice,Raleigh,NC,(blank)
ncshp.gov,State or territory,Non-Federal Agency,North Carolina State Highway Patrol,Raleigh,NC,William.Reeves@ncdps.gov
ncsis.gov,State or territory,Non-Federal Agency,Department of Public Instruction,Raleigh,NC,itsecurity@dpi.nc.gov
ncsparta.gov,State or territory,Non-Federal Agency,North Carolina Emergency Management,Raleigh,NC,DITPSInformationSecurity@ncdps.gov
ncstate.gov,State or territory,Non-Federal Agency,NC State University,Raleigh,NC,(blank)
ncswboard.gov,State or territory,Non-Federal Agency,North Carolina Social Work Certification and Licensure Board,Asheboro,NC,security@ncswboard.gov
ncuc.gov,State or territory,Non-Federal Agency,North Carolina Utilities Commission,Raleigh,NC,helpdesk@ncuc.net
ncvps.gov,State or territory,Non-Federal Agency,NC Department of Public Instruction,Raleigh,NC,itsecurity@dpi.nc.gov
ncworks.gov,State or territory,Non-Federal Agency,Division of Workforce Solutions of the Department of Commerce,Raleigh,NC,Michael.terrell@nccommerce.com
ndcensus.gov,State or territory,Non-Federal Agency,State of ND,Bismarck,ND,itsecur@nd.gov
ndcloud.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
ndcourts.gov,State or territory,Non-Federal Agency,North Dakota Judicial Branch,Bismarck,ND,technology2@ndcourts.gov
nddatacenter.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
nd.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
ndhan.gov,State or territory,Non-Federal Agency,"State of ND, Information Technology Department",Bismarck,ND,itsecur@nd.gov
ndhealth.gov,State or territory,Non-Federal Agency,"State of ND, Information Technology Department",Bismarck,ND,itsecur@nd.gov
ndhhs.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
ndlegis.gov,State or territory,Non-Federal Agency,North Dakota Legislative Council,Bismarck,ND,security@ndlegis.gov
ndlegistest.gov,State or territory,Non-Federal Agency,ND Legislative Council,BISMARCK,ND,security@ndlegis.gov
ndplumbingboard.gov,State or territory,Non-Federal Agency,North Dakota State Plumbing Board,Bismarck,ND,(blank)
ndresponse.gov,State or territory,Non-Federal Agency,"State of North Dakota, ITD",Bismarck,ND,itsecur@nd.gov
ndstudies.gov,State or territory,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
nebraskacorn.gov,State or territory,Non-Federal Agency,Office of the CIO,Lincoln,NE,(blank)
nebraskadrypeas.gov,State or territory,Non-Federal Agency,Nebraska Dry Pea and Lentil Commission,lincoln,NE,(blank)
nebraska.gov,State or territory,Non-Federal Agency,Office of the CIO,Lincoln,NE,(blank)
nebraskajudicial.gov,State or territory,Non-Federal Agency,Nebraska Judicial Branch,lincoln,NE,chepburn@supremecourt.ne.gov
nebraskalegislature.gov,State or territory,Non-Federal Agency,State of Nebraska,Lincoln,NE,(blank)
nebraskalostcash.gov,State or territory,Non-Federal Agency,OCIO,Lincoln,NE,(blank)
nebraskamap.gov,State or territory,Non-Federal Agency,State of Nebraska,Lincoln,NE,(blank)
nebraskaresearch2.gov,State or territory,Non-Federal Agency,University of Nebraska,Lincoln,NE,abuse@nebraska.edu
nebraskaresearch.gov,State or territory,Non-Federal Agency,University of Nebraska,Lincoln,NE,bfitzgerald@nebraska.edu
nebraskaspending.gov,State or territory,Non-Federal Agency,OCIO,Lincoln,NE,(blank)
nebraskaunicameral.gov,State or territory,Non-Federal Agency,State of Nebraska,Lincoln,NE,(blank)
nebraskawheat.gov,State or territory,Non-Federal Agency,Nebraska Wheat Board,Lincoln,NE,(blank)
ne.gov,State or territory,Non-Federal Agency,State of Nebraska,Lincoln,NE,(blank)
nejudicial.gov,State or territory,Non-Federal Agency,Nebraska Judicial Branch,Lincoln,NE,chris.hepburn@nejudicial.gov
networkmaryland.gov,State or territory,Non-Federal Agency,Maryland Dept. of Information Technology,Annapolis,MD,soc@maryland.gov
networknebraska.gov,State or territory,Non-Federal Agency,Office of the CIO,Lincoln,NE,(blank)
nevada.gov,State or territory,Non-Federal Agency,"State of Nevada, Department of Information Technology",Carson City,NV,gsteele@admin.nv.gov
nevadatreasurer.gov,State or territory,Non-Federal Agency,Nevada State Treasurer,Carson City,NV,rdanderson@nevadatreasurer.gov
